movie_id,movie_title,collaborator_id,collaborator_name,role,character,release_date
454,Romeo + Juliet,6201,Baz Luhrmann,Director,,1996/11/1
454,Romeo + Juliet,6194,Claire Danes,Actor,Juliet,1996/11/1
454,Romeo + Juliet,17772,Jesse Bradford,Actor,Balthasar,1996/11/1
454,Romeo + Juliet,6198,Vondie Curtis-Hall,Actor,Captain Prince,1996/11/1
454,Romeo + Juliet,6197,Brian Dennehy,Actor,Ted Montague,1996/11/1
454,Romeo + Juliet,5723,John Leguizamo,Actor,Tybalt,1996/11/1
454,Romeo + Juliet,6199,Miriam Margolyes,Actor,Nurse,1996/11/1
454,Romeo + Juliet,6195,Harold Perrineau,Actor,Mercutio,1996/11/1
454,Romeo + Juliet,94978,Christina Pickles,Actor,Caroline Montague,1996/11/1
454,Romeo + Juliet,4935,Pete Postlethwaite,Actor,Father Laurence,1996/11/1
454,Romeo + Juliet,22226,Paul Rudd,Actor,Dave Paris,1996/11/1
473888,Ryuichi Sakamoto: Coda,1087779,Stephen Nomura Schible,Director,,2017/11/4
473888,Ryuichi Sakamoto: Coda,11382,Ryuichi Sakamoto,Actor,Self,2017/11/4
473888,Ryuichi Sakamoto: Coda,7487,David Bowie,Actor,Jack Celliers (archive footage),2017/11/4
473888,Ryuichi Sakamoto: Coda,6949,John Malkovich,Actor,Port (archive footage),2017/11/4
473888,Ryuichi Sakamoto: Coda,26513,Debra Winger,Actor,Kit (archive footage),2017/11/4
473888,Ryuichi Sakamoto: Coda,1190206,Donatas Banionis,Actor,Kris Kelvin (archive footage),2017/11/4
473888,Ryuichi Sakamoto: Coda,1190211,Natalya Bondarchuk,Actor,Hari (archive footage),2017/11/4
473888,Ryuichi Sakamoto: Coda,1084110,Haruomi Hosono,Actor,Self,2017/11/4
473888,Ryuichi Sakamoto: Coda,1564130,Yukihiro Takahashi,Actor,Self,2017/11/4
1372,Blood Diamond,9181,Edward Zwick,Director,,2006/12/8
1372,Blood Diamond,938,Djimon Hounsou,Actor,Solomon Vandy,2006/12/8
1372,Blood Diamond,6161,Jennifer Connelly,Actor,Maddy Bowen,2006/12/8
